0,MT103 Single Customer Credit Transfer ,,,,,, -> ,pacs.008.001.08 FIToFICustomerCreditTransferV08,,,,,,,,,
1,Multiplicity,FieldTag,OptionLetter,Field Name,Option Format,Subfield Name, -> ,Message Building Block,Nesting Level 1,Nesting Level 2,Nesting Level 3,Nesting Level 4,Master function,"Translation 
Function",Comments,MT103 STP to pacs.008 CORE - Deltas,Comments
2,,,,Temp~Sender (TR001),4!a2!a2!c3!c,, -> ,CreditTransferTransactionInformation,InstructingAgent,FinancialInstitutionIdentification,BICFI,,,Copy,,A ,"A means applicable as in MT103 to pacs.008
N/A means not applicable in MT103 STP to pacs.008

MT103 STP is a restriction versus MT103. This means that the MT103 to pacs.008 Translation rules can be applied. If an implementation of translation MT103 STP to pacs.008 core is needed, col Q provides the deltas. "
4,,,,Temp~Sender (TR001),4!a2!a2!c3!c,, -> ,CreditTransferTransactionInformation,DebtorAgent,FinancialInstitutionIdentification,BICFI,,,"IF OrderingInstitution IsAbsent THEN 
 Copy BIC of the Sender
ENDIF","DebtorAgent is mandatory in the MX target message, whereas field 52a Ordering Institution is optional in the MT source message and absence of the field implies that the Sender is the Ordering Institution.",A ,
5,,,,,,, -> ,GroupHeader,CreationDateTime,,,,,Default value Sheet,,A,
6,,,,Temp~Receiver (TR001),4!a2!a2!c3!c,, -> ,CreditTransferTransactionInformation,InstructedAgent,FinancialInstitutionIdentification,BICFI,,,Copy,,A,
7,,,,Temp~Receiver (TR001),4!a2!a2!c3!c,, -> ,CreditTransferTransactionInformation,ChargesInformation [71G],Agent,FinancialInstitutionIdentification,BICFI,,"
IF 71G IsPresent THEN
TR005
ENDIF",,A,
8,,,,Temp~Receiver (TR001),4!a2!a2!c3!c,, -> ,CreditTransferTransactionInformation,CreditorAgent,FinancialInstitutionIdentification,BICFI,,,"IF AccountWithInstitution IsAbsent THEN
Copy BIC of the Receiver
ENDIF","CreditorAgent is mandatory in the MX target message, whereas field 57a Account With Institution is optional in the MT source message and absence of the field implies that the Receiver is the Account With Institution.",A,
,,,,Block3/EndToEndReference/ServiceTypeIdentifier,3!n,,,CreditTransferTransactionInformation,PaymentTypeInformation,ServiceLevel,Code,,,TR006,,A,
,1..1,,,Block3/EndToEndReference/UniqueEndToEndTransactionReference,36!c,,,CreditTransferTransactionInformation,PaymentIdentification,UETR,,,,Copy,"UETR Pattern 
[a-f0-9]{8}-[a-f0-9]{4}-4[a-f0-9]{3}-[89ab][a-f0-9]{3}-[a-f0-9]{12}",A,
10,1..1,20,,Sender's Reference,16x,, -> ,GroupHeader,MessageIdentification,,,,,Copy,MessageIdentification is mandatory in the MX target message as the identification for the group of transactions. The MT 103 is a single transaction and field 20 Sender's Reference is therefore both instruction and message reference.,A,
12,1..1,20,,Sender's Reference,16x,, -> ,CreditTransferTransactionInformation,PaymentIdentification,InstructionIdentification,,,,Copy,,A,
14,,,,,,, -> ,CreditTransferTransactionInformation,PaymentIdentification,TransactionIdentification,,,,No translation,,,
15,0..*,13,C,Time Indication/SNDTIME,/8c/HHMM1!xHHMM,, -> ,CreditTransferTransactionInformation,SettlementTimeIndication,DebitDateTime,,,,"MT_To_MXTimeOffset(MTTimeOffset;MXTimeOffset)
Copy(Concatenate  (""0001-01-01T"", MXTimeOffset))","Because field 13C does not contain a date, it is required to add a date for the mapping to CreditDateTime and DebitDateTime. In order to avoid dispute, especially for transactions sent close to cut-off time, it is recommended to use a dummy date ""0001-01-01""
Please add the comment in Translator",A,
16,,13,C,Time Indication/RNCTIME,/8c/HHMM1!xHHMM,, -> ,CreditTransferTransactionInformation,SettlementTimeIndication,CreditDateTime,,,,,,A,
17,,13,C,Time Indication/CLSTIME,/8c/HHMM1!xHHMM,, -> ,CreditTransferTransactionInformation,SettlementTimeRequest,CLSTime,,,,"MT_To_MXTimeOffset
",,A,
,,13,C,Time Indication/TILTIME,/8c/HHMM1!xHHMM,,,CreditTransferTransactionInformation,SettlementTimeRequest,TillTime,,,,,,A,
,,13,C,Time Indication/FROTIME,/8c/HHMM1!xHHMM,,,CreditTransferTransactionInformation,SettlementTimeRequest,FromTime,,,,,,A,
,,13,C,Time Indication/REJTIME,/8c/HHMM1!xHHMM,,,CreditTransferTransactionInformation,SettlementTimeRequest,RejectTime,,,,,,A,
,,,,,,,,,,,,,,,,,
18,1..1,23,B,Bank Operation Code,4!c,, -> ,,,,,,,No translation,,A,
,,,,,,,,,,,,,,,,,
25,0..*,23,E,Instruction Code,4!c[/30x],, -> ,,,,,,,,,,
27,,23,E,Instruction Code/CHQB,4!c,Code, -> ,CreditTransferTransactionInformation,InstructionForCreditorAgent,Code/CHQB,,,,MT_To_MXInstructionForCreditorAgent,,N/A,
28,,23,E,Instruction Code/HOLD,4!c,Code, -> ,CreditTransferTransactionInformation,InstructionForCreditorAgent,Code/HOLD,,,,,,N/A,
28,,23,E,Instruction Code/HOLD/AdditionalInformation,[/30x],AdditionalInformation, -> ,CreditTransferTransactionInformation,InstructionForCreditorAgent [HOLD],AdditionalInformation,,,,,,N/A,
29,,23,E,Instruction Code/PHOB,4!c,Code, -> ,CreditTransferTransactionInformation,InstructionForCreditorAgent,Code/PHOB,,,,,,N/A,
29,,23,E,Instruction Code/PHOB/AdditionalInformation,[/30x],AdditionalInformation, -> ,CreditTransferTransactionInformation,InstructionForCreditorAgent [PHOB],AdditionalInformation,,,,,,N/A,
30,,23,E,Instruction Code/TELB,4!c,Code, -> ,CreditTransferTransactionInformation,InstructionForCreditorAgent,Code/TELB,,,,,,N/A,
30,,23,E,Instruction Code/TELB/AdditionalInformation,[30x],AdditionalInformation, -> ,CreditTransferTransactionInformation,InstructionForCreditorAgent [TELB],AdditionalInformation,,,,,,N/A,
,,23,E,Instruction Code/PHOI or PHON or REPA or TELE or TELI,4!c,Code,,,,,,,,No translation,,A,
,,,,Instruction Code/PHOI or PHON or REPA or TELE or TELI/AdditionalInformation,[30x],AdditionalInformation,,,,,,,,,,A,
30,,23,E,Instruction Code/CORT,4!c,Code, -> ,CreditTransferTransactionInformation,PaymentTypeInformation,CategoryPurpose,Code/CORT,,,TR012,,A,
30,,23,E,Instruction Code/INTC,4!c,Code, -> ,CreditTransferTransactionInformation,PaymentTypeInformation,CategoryPurpose,Code/INTC,,,,,A,
30,,23,E,Instruction Code/SDVA,4!c,Code, -> ,CreditTransferTransactionInformation,PaymentTypeInformation,ServiceLevel,Code/SDVA,,,Copy,,A,
34,,,,,,, -> ,,,,,,,,,,
